2025-07-20 16:23:25,976 [INFO] fetch_kline.py:81 筛选得到 2087 只股票
2025-07-20 16:23:25,977 [INFO] fetch_kline.py:335 开始抓取 2087 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250720
2025-07-20 16:23:47,011 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,087 [WARNING] fetch_kline.py:162 AKShare 拉取 002283 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,307 [WARNING] fetch_kline.py:162 AKShare 拉取 002276 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,330 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,408 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,492 [WARNING] fetch_kline.py:162 AKShare 拉取 002277 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,571 [WARNING] fetch_kline.py:162 AKShare 拉取 002290 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,586 [WARNING] fetch_kline.py:162 AKShare 拉取 002284 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,785 [WARNING] fetch_kline.py:162 AKShare 拉取 002275 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:47,897 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:48,088 [WARNING] fetch_kline.py:162 AKShare 拉取 002279 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:48,823 [WARNING] fetch_kline.py:162 AKShare 拉取 002287 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:48,838 [WARNING] fetch_kline.py:162 AKShare 拉取 002291 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:49,753 [WARNING] fetch_kline.py:162 AKShare 拉取 002292 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:49,777 [WARNING] fetch_kline.py:162 AKShare 拉取 002299 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:50,048 [WARNING] fetch_kline.py:162 AKShare 拉取 002298 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:50,106 [WARNING] fetch_kline.py:162 AKShare 拉取 002293 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:50,292 [WARNING] fetch_kline.py:162 AKShare 拉取 002294 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:50,999 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
